posicao,jogador_nome,time_nome,time_sigla,gols,assistencias,jogos,atualizado_em
1,Carlos Vinícius,Grêmio FBPA,Grêmio,9,0,16,2026-05-24 03:04:45.498422
2,Pedro,CR Flamengo,Flamengo,9,3,16,2026-05-24 03:04:45.498430
3,John Kennedy,Fluminense FC,Fluminense,8,1,17,2026-05-24 03:04:45.498432
4,Kevin Viveros,CA Paranaense,Paranaense,8,1,15,2026-05-24 03:04:45.498434
5,Danilo dos Santos de Oliveira,Botafogo FR,Botafogo,7,2,12,2026-05-24 03:04:45.498435
6,Arthur Cabral,Botafogo FR,Botafogo,7,1,16,2026-05-24 03:04:45.498437
7,Breno Lopes,Coritiba FBC,Coritiba,7,1,13,2026-05-24 03:04:45.498439
8,Luciano Juba,EC Bahia,Bahia,7,1,15,2026-05-24 03:04:45.498441
9,José Manuel López,SE Palmeiras,Palmeiras,6,3,17,2026-05-24 03:04:45.498442
10,Luciano,São Paulo FC,São Paulo,6,1,15,2026-05-24 03:04:45.498444
11,Jonathan Calleri,São Paulo FC,São Paulo,6,1,15,2026-05-24 03:04:45.498451
12,Gabriel Barbosa,Santos FC,Santos,6,2,12,2026-05-24 03:04:45.498453
13,Stiven Mendoza,CA Paranaense,Paranaense,5,0,16,2026-05-24 03:04:45.498455
14,Christian,Cruzeiro EC,Cruzeiro,5,2,16,2026-05-24 03:04:45.498457
15,Isidro Pitta,RB Bragantino,Bragantino,5,1,15,2026-05-24 03:04:45.498458
16,Matheus Martins,Botafogo FR,Botafogo,4,0,14,2026-05-24 03:04:45.498460
17,Alef Manga,Clube do Remo,Clube do Remo,4,3,16,2026-05-24 03:04:45.498461
18,Edenilson,Botafogo FR,Botafogo,4,2,16,2026-05-24 03:04:45.498463
19,Allan,SE Palmeiras,Palmeiras,4,2,16,2026-05-24 03:04:45.498464
20,Joaquín Lavega,Coritiba FBC,Coritiba,4,0,15,2026-05-24 03:04:45.498465
