posicao,time_nome,time_sigla,logo_url,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,pontos,aproveitamento,atualizado_em
1,SE Palmeiras,Palmeiras,https://crests.football-data.org/1769.png,17,11,5,1,29,13,16,38,74.5,2026-05-24 03:04:41.962027
2,CR Flamengo,Flamengo,https://crests.football-data.org/1783.png,16,9,4,3,28,16,12,31,64.6,2026-05-24 03:04:41.962037
3,Fluminense FC,Fluminense,https://crests.football-data.org/1765.png,17,9,3,5,27,22,5,30,58.8,2026-05-24 03:04:41.962040
4,São Paulo FC,São Paulo,https://crests.football-data.org/1776.png,17,7,4,6,23,19,4,25,49.0,2026-05-24 03:04:41.962042
5,CA Paranaense,Paranaense,https://crests.football-data.org/1768.png,16,7,3,6,21,17,4,24,50.0,2026-05-24 03:04:41.962045
6,RB Bragantino,Bragantino,https://crests.football-data.org/4286.png,16,7,2,7,19,18,1,23,47.9,2026-05-24 03:04:41.962047
7,EC Bahia,Bahia,https://crests.football-data.org/1777.png,15,6,5,4,21,19,2,23,51.1,2026-05-24 03:04:41.962049
7,Coritiba FBC,Coritiba,https://crests.football-data.org/4241.png,16,6,5,5,21,19,2,23,47.9,2026-05-24 03:04:41.962051
9,Botafogo FR,Botafogo,https://crests.football-data.org/1770.png,16,6,4,6,30,29,1,22,45.8,2026-05-24 03:04:41.962056
10,EC Vitória,Vitória,https://crests.football-data.org/1782.png,16,6,4,6,20,22,-2,22,45.8,2026-05-24 03:04:41.962058
11,CA Mineiro,Mineiro,https://crests.football-data.org/1766.png,16,6,3,7,21,22,-1,21,43.8,2026-05-24 03:04:41.962061
12,SC Internacional,Internacional,https://crests.football-data.org/6684.png,17,5,6,6,20,19,1,21,41.2,2026-05-24 03:04:41.962063
13,Grêmio FBPA,Grêmio,https://crests.football-data.org/1767.png,17,5,6,6,19,20,-1,21,41.2,2026-05-24 03:04:41.962065
14,CR Vasco da Gama,Vasco da Gama,https://crests.football-data.org/1780.png,16,5,5,6,22,25,-3,20,41.7,2026-05-24 03:04:41.962067
15,Cruzeiro EC,Cruzeiro,https://crests.football-data.org/1771.png,16,5,5,6,21,26,-5,20,41.7,2026-05-24 03:04:41.962069
16,SC Corinthians Paulista,Corinthians,https://crests.football-data.org/1779.png,16,4,6,6,14,18,-4,18,37.5,2026-05-24 03:04:41.962071
17,Santos FC,Santos,https://crests.football-data.org/6685.png,17,4,6,7,23,28,-5,18,35.3,2026-05-24 03:04:41.962073
18,Mirassol FC,Mirassol,https://crests.football-data.org/4364.png,16,4,4,8,18,23,-5,16,33.3,2026-05-24 03:04:41.962075
19,Clube do Remo,Clube do Remo,https://crests.football-data.org/4287.png,16,3,6,7,19,27,-8,15,31.2,2026-05-24 03:04:41.962078
20,Chapecoense AF,Chapecoense,https://crests.football-data.org/1772_large.png,15,1,6,8,16,30,-14,9,20.0,2026-05-24 03:04:41.962080
