jogo_id,rodada,data,status,time_casa,time_casa_sigla,gols_casa,gols_fora,time_fora,time_fora_sigla,atualizado_em
554740,1,2026-01-28,FINISHED,CA Mineiro,Mineiro,2.0,2.0,SE Palmeiras,Palmeiras,2026-05-24 03:04:47.735809
554744,1,2026-01-28,FINISHED,Coritiba FBC,Coritiba,0.0,1.0,RB Bragantino,Bragantino,2026-05-24 03:04:47.735820
554746,1,2026-01-28,FINISHED,SC Internacional,Internacional,0.0,1.0,CA Paranaense,Paranaense,2026-05-24 03:04:47.735822
554749,1,2026-01-28,FINISHED,EC Vitória,Vitória,2.0,0.0,Clube do Remo,Clube do Remo,2026-05-24 03:04:47.735825
554745,1,2026-01-28,FINISHED,Fluminense FC,Fluminense,2.0,1.0,Grêmio FBPA,Grêmio,2026-05-24 03:04:47.735827
554742,1,2026-01-28,FINISHED,Chapecoense AF,Chapecoense,4.0,2.0,Santos FC,Santos,2026-05-24 03:04:47.735829
554743,1,2026-01-28,FINISHED,SC Corinthians Paulista,Corinthians,1.0,2.0,EC Bahia,Bahia,2026-05-24 03:04:47.735831
554748,1,2026-01-29,FINISHED,São Paulo FC,São Paulo,2.0,1.0,CR Flamengo,Flamengo,2026-05-24 03:04:47.735842
554747,1,2026-01-29,FINISHED,Mirassol FC,Mirassol,2.0,1.0,CR Vasco da Gama,Vasco da Gama,2026-05-24 03:04:47.735844
554741,1,2026-01-30,FINISHED,Botafogo FR,Botafogo,4.0,0.0,Cruzeiro EC,Cruzeiro,2026-05-24 03:04:47.735846
554752,2,2026-02-04,FINISHED,RB Bragantino,Bragantino,1.0,0.0,CA Mineiro,Mineiro,2026-05-24 03:04:47.735848
554754,2,2026-02-04,FINISHED,CR Flamengo,Flamengo,1.0,1.0,SC Internacional,Internacional,2026-05-24 03:04:47.735851
554757,2,2026-02-04,FINISHED,Clube do Remo,Clube do Remo,2.0,2.0,Mirassol FC,Mirassol,2026-05-24 03:04:47.735852
554758,2,2026-02-04,FINISHED,Santos FC,Santos,1.0,1.0,São Paulo FC,São Paulo,2026-05-24 03:04:47.735854
554755,2,2026-02-05,FINISHED,Grêmio FBPA,Grêmio,5.0,3.0,Botafogo FR,Botafogo,2026-05-24 03:04:47.735856
554756,2,2026-02-05,FINISHED,SE Palmeiras,Palmeiras,5.0,1.0,EC Vitória,Vitória,2026-05-24 03:04:47.735858
554751,2,2026-02-05,FINISHED,EC Bahia,Bahia,1.0,1.0,Fluminense FC,Fluminense,2026-05-24 03:04:47.735860
554759,2,2026-02-05,FINISHED,CR Vasco da Gama,Vasco da Gama,1.0,1.0,Chapecoense AF,Chapecoense,2026-05-24 03:04:47.735864
554753,2,2026-02-06,FINISHED,Cruzeiro EC,Cruzeiro,1.0,2.0,Coritiba FBC,Coritiba,2026-05-24 03:04:47.735866
554769,3,2026-02-11,FINISHED,EC Vitória,Vitória,1.0,2.0,CR Flamengo,Flamengo,2026-05-24 03:04:47.735869
554762,3,2026-02-11,FINISHED,Chapecoense AF,Chapecoense,3.0,3.0,Coritiba FBC,Coritiba,2026-05-24 03:04:47.735871
554766,3,2026-02-11,FINISHED,Mirassol FC,Mirassol,2.0,2.0,Cruzeiro EC,Cruzeiro,2026-05-24 03:04:47.735872
554761,3,2026-02-11,FINISHED,CA Mineiro,Mineiro,3.0,3.0,Clube do Remo,Clube do Remo,2026-05-24 03:04:47.735874
554767,3,2026-02-12,FINISHED,São Paulo FC,São Paulo,2.0,0.0,Grêmio FBPA,Grêmio,2026-05-24 03:04:47.735875
554768,3,2026-02-12,FINISHED,CR Vasco da Gama,Vasco da Gama,0.0,1.0,EC Bahia,Bahia,2026-05-24 03:04:47.735877
554760,3,2026-02-12,FINISHED,CA Paranaense,Paranaense,2.0,1.0,Santos FC,Santos,2026-05-24 03:04:47.735879
554764,3,2026-02-12,FINISHED,Fluminense FC,Fluminense,1.0,0.0,Botafogo FR,Botafogo,2026-05-24 03:04:47.735880
554763,3,2026-02-12,FINISHED,SC Corinthians Paulista,Corinthians,2.0,0.0,RB Bragantino,Bragantino,2026-05-24 03:04:47.735883
554765,3,2026-02-13,FINISHED,SC Internacional,Internacional,1.0,3.0,SE Palmeiras,Palmeiras,2026-05-24 03:04:47.735885
554750,2,2026-02-19,FINISHED,CA Paranaense,Paranaense,0.0,1.0,SC Corinthians Paulista,Corinthians,2026-05-24 03:04:47.735887
554770,4,2026-02-25,POSTPONED,EC Bahia,Bahia,,,Chapecoense AF,Chapecoense,2026-05-24 03:04:47.735889
554771,4,2026-02-25,POSTPONED,Botafogo FR,Botafogo,,,EC Vitória,Vitória,2026-05-24 03:04:47.735891
554775,4,2026-02-25,POSTPONED,CR Flamengo,Flamengo,,,Mirassol FC,Mirassol,2026-05-24 03:04:47.735892
554772,4,2026-02-25,FINISHED,RB Bragantino,Bragantino,1.0,1.0,CA Paranaense,Paranaense,2026-05-24 03:04:47.735894
554778,4,2026-02-25,FINISHED,Clube do Remo,Clube do Remo,1.0,1.0,SC Internacional,Internacional,2026-05-24 03:04:47.735896
554773,4,2026-02-25,FINISHED,Coritiba FBC,Coritiba,0.0,1.0,São Paulo FC,São Paulo,2026-05-24 03:04:47.735898
554774,4,2026-02-25,FINISHED,Cruzeiro EC,Cruzeiro,1.0,1.0,SC Corinthians Paulista,Corinthians,2026-05-24 03:04:47.735899
554776,4,2026-02-26,FINISHED,Grêmio FBPA,Grêmio,2.0,1.0,CA Mineiro,Mineiro,2026-05-24 03:04:47.735902
554777,4,2026-02-26,FINISHED,SE Palmeiras,Palmeiras,2.0,1.0,Fluminense FC,Fluminense,2026-05-24 03:04:47.735903
554779,4,2026-02-26,FINISHED,Santos FC,Santos,2.0,1.0,CR Vasco da Gama,Vasco da Gama,2026-05-24 03:04:47.735905
554786,5,2026-03-11,FINISHED,Mirassol FC,Mirassol,2.0,2.0,Santos FC,Santos,2026-05-24 03:04:47.735907
554781,5,2026-03-11,FINISHED,CA Mineiro,Mineiro,1.0,0.0,SC Internacional,Internacional,2026-05-24 03:04:47.735908
554782,5,2026-03-11,FINISHED,EC Bahia,Bahia,1.0,1.0,EC Vitória,Vitória,2026-05-24 03:04:47.735910
554783,5,2026-03-12,FINISHED,SC Corinthians Paulista,Corinthians,0.0,2.0,Coritiba FBC,Coritiba,2026-05-24 03:04:47.735911
554784,5,2026-03-12,FINISHED,CR Flamengo,Flamengo,2.0,0.0,Cruzeiro EC,Cruzeiro,2026-05-24 03:04:47.735913
554787,5,2026-03-12,FINISHED,Clube do Remo,Clube do Remo,0.0,2.0,Fluminense FC,Fluminense,2026-05-24 03:04:47.735914
554789,5,2026-03-12,FINISHED,CR Vasco da Gama,Vasco da Gama,2.0,1.0,SE Palmeiras,Palmeiras,2026-05-24 03:04:47.735915
554788,5,2026-03-12,FINISHED,São Paulo FC,São Paulo,2.0,0.0,Chapecoense AF,Chapecoense,2026-05-24 03:04:47.735918
554785,5,2026-03-13,FINISHED,Grêmio FBPA,Grêmio,1.0,1.0,RB Bragantino,Bragantino,2026-05-24 03:04:47.735919
554799,6,2026-03-14,FINISHED,EC Vitória,Vitória,2.0,0.0,CA Mineiro,Mineiro,2026-05-24 03:04:47.735921
554790,6,2026-03-14,FINISHED,Botafogo FR,Botafogo,0.0,3.0,CR Flamengo,Flamengo,2026-05-24 03:04:47.735922
554795,6,2026-03-15,FINISHED,Fluminense FC,Fluminense,3.0,2.0,CA Paranaense,Paranaense,2026-05-24 03:04:47.735924
554796,6,2026-03-15,FINISHED,SC Internacional,Internacional,0.0,1.0,EC Bahia,Bahia,2026-05-24 03:04:47.735925
554798,6,2026-03-15,FINISHED,Santos FC,Santos,1.0,1.0,SC Corinthians Paulista,Corinthians,2026-05-24 03:04:47.735927
554793,6,2026-03-15,FINISHED,Coritiba FBC,Coritiba,1.0,0.0,Clube do Remo,Clube do Remo,2026-05-24 03:04:47.735929
554797,6,2026-03-15,FINISHED,SE Palmeiras,Palmeiras,1.0,0.0,Mirassol FC,Mirassol,2026-05-24 03:04:47.735931
554791,6,2026-03-15,FINISHED,RB Bragantino,Bragantino,1.0,2.0,São Paulo FC,São Paulo,2026-05-24 03:04:47.735932
554794,6,2026-03-15,FINISHED,Cruzeiro EC,Cruzeiro,3.0,3.0,CR Vasco da Gama,Vasco da Gama,2026-05-24 03:04:47.735935
